Date,EUR/USD Close,EUR/USD High,EUR/USD Low
,,,
12/9/2013,1.3738,1.3746,1.3692
12/10/2013,1.3765,1.3795,1.3732
12/11/2013,1.3788,1.3811,1.3739
12/12/2013,1.3745,1.3803,1.3736
12/13/2013,1.3732,1.377,1.3707
12/16/2013,1.3764,1.3799,1.3734
12/17/2013,1.3767,1.3782,1.3721
12/18/2013,1.3696,1.3812,1.3693
12/19/2013,1.3655,1.3694,1.3647
12/20/2013,1.3677,1.3709,1.3622
12/23/2013,1.3693,1.3717,1.3669
12/24/2013,1.3675,1.3699,1.3653
12/25/2013,1.3695,1.3705,1.3659
12/26/2013,1.3692,1.3702,1.3661
12/27/2013,1.374,1.3893,1.3687
12/30/2013,1.3798,1.382,1.3726
12/31/2013,1.3774,1.3812,1.3757
1/1/2014,1.3745,1.3754,1.3744
1/2/2014,1.3655,1.3775,1.3627
1/3/2014,1.3587,1.3672,1.3583
1/6/2014,1.3634,1.3653,1.3569
1/7/2014,1.3614,1.366,1.3594
1/8/2014,1.3581,1.3635,1.3551
1/9/2014,1.3607,1.3633,1.3547
1/10/2014,1.3665,1.3687,1.3568
1/13/2014,1.3668,1.3685,1.3634
1/14/2014,1.3681,1.37,1.3646
1/15/2014,1.3604,1.3681,1.3579
1/16/2014,1.3617,1.3649,1.3581
1/17/2014,1.3524,1.3621,1.3515
1/20/2014,1.3562,1.357,1.3506
1/21/2014,1.3558,1.3569,1.3514
1/22/2014,1.3548,1.3583,1.3532
1/23/2014,1.3694,1.3698,1.3528
1/24/2014,1.368,1.3739,1.366
1/27/2014,1.3672,1.3717,1.365
1/28/2014,1.3666,1.3688,1.3626
1/29/2014,1.3661,1.3685,1.36
1/30/2014,1.355,1.3664,1.3541
1/31/2014,1.3487,1.3573,1.3477
2/3/2014,1.3531,1.3536,1.3475
2/4/2014,1.3515,1.3539,1.3491
2/5/2014,1.3531,1.3555,1.3497
2/6/2014,1.3588,1.362,1.3481
2/7/2014,1.3638,1.3643,1.355
2/10/2014,1.3634,1.3651,1.3615
2/11/2014,1.3637,1.3683,1.3626
2/12/2014,1.3592,1.3653,1.3559
2/13/2014,1.368,1.3692,1.3582
2/14/2014,1.3697,1.3715,1.3671
2/17/2014,1.3708,1.3724,1.3689
2/18/2014,1.3757,1.377,1.3691
2/19/2014,1.3733,1.3773,1.3722
2/20/2014,1.372,1.3763,1.3684
2/21/2014,1.374,1.3758,1.37
2/24/2014,1.3734,1.3771,1.3705
